location_id,borough,zone,centroid_x,centroid_y,snapped_node_key_x,snapped_node_key_y,snapped_x,snapped_y,snap_distance
4,Manhattan,Alphabet City,990633.980643454,202959.78239162272,990690.7950985171,203052.4216872407,990690.7950985171,203052.4216872407,108.67346224682746
12,Manhattan,Battery Park,979934.7306241285,195378.97286201795,980078.8720614006,195423.871532549,980078.8720614006,195423.871532549,150.97233042619337
13,Manhattan,Battery Park City,979792.3310291712,198691.5254375643,979914.1001020737,198640.64309570685,979914.1001020737,198640.64309570685,131.97242071142634
24,Manhattan,Bloomingdale,993807.2716568436,231458.37605564596,994006.2977405328,231378.0669898051,994006.2977405328,231378.0669898051,214.61809812987167
41,Manhattan,Central Harlem,997734.6452347699,232321.290547906,997678.9188591002,232382.24826462942,997678.9188591002,232382.24826462942,82.59099329474539
42,Manhattan,Central Harlem North,1000643.6322593023,237395.8715478468,1000646.8068734921,237380.7789441875,1000646.8068734921,237380.7789441875,15.422868101304122
43,Manhattan,Central Park,993789.0096979336,224356.21221153712,993991.8885664203,224779.4308542396,993991.8885664203,224779.4308542396,469.33341539824244
45,Manhattan,Chinatown,984762.469283647,198844.63611675482,984808.2946643208,198945.4384636721,984808.2946643208,198945.4384636721,110.72975507028347
48,Manhattan,Clinton East,987063.1857042019,216986.07003418246,987057.8561720778,216982.84713680318,987057.8561720778,216982.84713680318,6.2282405363963935
50,Manhattan,Clinton West,985597.534388399,218437.8202849423,985736.9300916152,218310.8565170353,985736.9300916152,218310.8565170353,188.54962327271153
68,Manhattan,East Chelsea,984272.7786345114,211948.9124004859,984267.10356932,211941.71122924468,984267.10356932,211941.71122924468,9.168600338721292
74,Manhattan,East Harlem North,1001596.4821997061,231170.7231351315,1001501.9040249632,231163.38595151197,1001501.9040249632,231163.38595151197,94.86234975574644
75,Manhattan,East Harlem South,999272.1113850608,227103.75962498758,999304.0145459749,227195.11428765955,999304.0145459749,227195.11428765955,96.76510770014296
79,Manhattan,East Village,988147.6579915716,204368.50187544298,988325.6919930098,204361.59405901868,988325.6919930098,204361.59405901868,178.16796456108952
87,Manhattan,Financial District North,982171.7278875079,196785.9408440269,982104.029605124,196772.34115235522,982104.029605124,196772.34115235522,69.05077154737428
88,Manhattan,Financial District South,981057.2642995467,195528.9248000005,981034.2490329865,195564.2741093114,981034.2490329865,195564.2741093114,42.18146706311934
90,Manhattan,Flatiron,985089.2186531803,209708.7418478816,985078.9624373709,209693.37560160033,985078.9624373709,209693.37560160033,18.47461738454879
100,Manhattan,Garment District,987356.7623984256,213801.89033513595,987356.4187619473,213806.3667178167,987356.4187619473,213806.3667178167,4.48955319980008
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,972944.8345518338,193859.36077553226,976765.3348624826,193312.05350760385,976765.3348624826,193312.05350760385,3859.5035780777494
